Condition,Cue,tone,distractor,bias,rt,rt sd,acc,acc sd
1,n,none,congruent,acc,772.2846,37.97214,0.9866667,0.02981424
2,y,none,congruent,acc,635.6367,52.72804,1,0
3,n,sound_1,congruent,acc,694.9642,42.34964,0.9875,0.02795085
4,y,sound_1,congruent,acc,609.2983,32.41506,0.9875,0.02795085
5,n,none,incongruent,acc,812.693,37.25111,1,0
6,y,none,incongruent,acc,688.3775,46.7293,0.9875,0.02795085
7,n,sound_1,incongruent,acc,752.0595,34.44612,0.9732143,0.03681344
8,y,sound_1,incongruent,acc,666.0633,44.11559,0.975,0.03423266
9,n,none,none,acc,788.44,44.79248,0.9875,0.02795085
10,y,none,none,acc,626.175,50.52056,1,0
11,n,sound_1,none,acc,684.6083,65.13335,1,0
12,y,sound_1,none,acc,610.3071,53.78824,1,0
13,n,none,congruent,rt,674.119,49.50375,0.9622253,0.05076071
14,y,none,congruent,rt,560.0668,41.58937,0.9821429,0.04724556
15,n,sound_1,congruent,rt,570.8094,28.10667,0.9821429,0.03049688
16,y,sound_1,congruent,rt,527.2313,37.57162,0.9642857,0.06099375
17,n,none,incongruent,rt,727.8392,60.5177,0.9481524,0.05508499
18,y,none,incongruent,rt,598.8516,52.63496,0.9613095,0.03693355
19,n,sound_1,incongruent,rt,666.2551,37.16906,0.8869048,0.11465095
20,y,sound_1,incongruent,rt,587.7835,56.19086,0.9434524,0.06773694
21,n,none,none,rt,698.845,50.61761,0.9815476,0.03153639
22,y,none,none,rt,535.6958,44.07235,0.9910714,0.02362278
23,n,sound_1,none,rt,562.2998,39.14386,0.9642857,0.07086834
24,y,sound_1,none,rt,506.0445,38.13331,0.9904762,0.02519763
